(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
75,93;0,00;1,0000;0,00;61,73;14,20;
75,93;0,00;1,0000;0,00;140,93;32,42;
173,35;8.841,52;1,0000;8.841,52;8.917,66;2.051,95;
10.969,61;2.494,47;1,0000;2.494,47;2.513,76;578,41;
3.092,17;7.417,53;1,0000;7.417,53;7.474,72;1.719,93;
9.194,65;4.945,02;1,0000;4.945,02;4.983,26;1.146,64;
6.129,90;1.585,47;1,0000;1.585,47;1.604,76;369,25;
1.974,01;7.080,13;1,0000;7.080,13;7.099,42;1.633,57;
8.732,99;4.924,89;1,0000;4.924,89;4.950,61;1.139,13;
6.089,74;2.511,02;1,0000;2.511,02;2.530,31;582,22;
3.112,53;0,00;1,0000;0,00;211,99;48,77;
260,76;0,00;1,0000;0,00;122,05;28,08;
150,13;0,00;1,0000;0,00;7,85;1,80;
9,65;0,00;1,0000;0,00;9,41;2,16;
11,57;0,00;1,0000;0,00;18,06;4,15;
22,21;0,00;1,0000;0,00;19,29;4,43;
23,72;0,00;1,0000;0,00;5,57;1,28;
6,85;0,00;1,0000;0,00;11,87;2,73;
14,60;0,00;1,0000;0,00;34,06;7,83;
41,89;0,00;1,0000;0,00;22,70;5,22;
27,92;0,00;1,0000;0,00;17,19;3,95;
21,14;0,00;1,0000;0,00;2,44;0,56;
3,00;0,00;1,0000;0,00;23,56;5,42;
28,98;0,00;1,0000;0,00;4,09;0,94;
5,03;0,00;1,0000;0,00;4,54;1,04;
5,58;0,00;1,0000;0,00;4,66;1,07;
5,73;0,00;1,0000;0,00;6,25;1,43;
7,68;0,00;1,0000;0,00;7,44;1,71;
9,15;0,00;1,0000;0,00;13,53;3,11;
16,64;0,00;1,0000;0,00;20,91;4,81;
25,72;0,00;1,0000;0,00;41,92;9,64;
51,56;0,00;1,0000;0,00;42,11;9,68;
51,79;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;11,12;2,55;
13,67;3.096,52;1,0000;3.096,52;3.363,96;774,04;
4.138,00;0,00;1,0000;0,00;2.272,21;522,83;
2.795,04;0,00;1,0000;0,00;2.272,21;522,83;
2.795,04;0,00;1,0000;0,00;100,98;23,23;
124,21;0,00;1,0000;0,00;456,19;104,96;
561,15;0,00;1,0000;0,00;364,52;83,87;
448,39;1,97;2,0000;0,98;390,52;89,85;
480,37;0,00;1,0000;0,00;368,00;84,67;
452,67;0,00;1,0000;0,00;458,72;105,55;
564,27;0,00;1,0000;0,00;389,75;89,68;
479,43;0,00;1,0000;0,00;348,14;80,10;
428,24;0,00;1,0000;0,00;320,21;73,68;
393,89;0,00;1,0000;0,00;300,26;69,08;
369,34;0,00;1,0000;0,00;35,74;8,22;
43,96;17,84;1,0000;17,84;21,94;5,04;
26,98;0,00;1,0000;0,00;19,14;4,40;
23,54;0,00;1,0000;0,00;18,20;4,18;
22,38;0,00;1,0000;0,00;323,31;74,39;
397,70;0,00;1,0000;0,00;268,52;61,78;
330,30;0,00;1,0000;0,00;164,40;37,82;
202,22;0,00;1,0000;0,00;821,60;189,05;
1.010,65;0,00;1,0000;0,00;51,53;11,85;
63,38;0,16;1,0000;0,16;0,16;0,03;
0,19;0,65;1,0000;0,65;0,65;0,14;
0,79;0,57;1,0000;0,57;0,57;0,13;
0,70;0,49;1,0000;0,49;0,49;0,11;
0,60;0,41;1,0000;0,41;0,41;0,09;
0,50;0,33;1,0000;0,33;0,33;0,07;
0,40;0,24;1,0000;0,24;0,24;0,05;
0,29;0,00;1,0000;0,00;71,97;16,56;
88,53;0,00;1,0000;0,00;80,68;18,56;
99,24;0,00;1,0000;0,00;129,53;29,80;
159,33;0,00;1,0000;0,00;792,73;182,40;
975,13;0,00;1,0000;0,00;50,61;11,64;
62,25;0,00;1,0000;0,00;25,86;5,95;
31,81;0,00;1,0000;0,00;105,67;24,31;
129,98;0,00;1,0000;0,00;136,75;31,46;
168,21;0,00;1,0000;0,00;1.048,48;241,25;
1.289,73;0,00;1,0000;0,00;33,41;7,68;
41,09;0,00;1,0000;0,00;1,21;0,27;
1,48;0,00;1,0000;0,00;1,09;0,25;
1,34;0,00;1,0000;0,00;53,41;12,28;
65,69;2.430,56;1,0000;2.430,56;2.668,89;614,11;
3.283,00;20,01;1,0000;20,01;24,18;5,56;
29,74;0,00;1,0000;0,00;435,00;100,09;
535,09;0,00;1,0000;0,00;555,50;127,82;
683,32;0,00;1,0000;0,00;353,29;81,29;
434,58;0,00;1,0000;0,00;443,69;102,09;
545,78;0,00;1,0000;0,00;471,03;108,38;
579,41;0,00;1,0000;0,00;194,33;44,71;
239,04;0,00;1,0000;0,00;456,71;105,08;
561,79;0,00;1,0000;0,00;311,13;71,59;
382,72;0,00;1,0000;0,00;573,54;131,97;
705,51;0,00;1,0000;0,00;1.302,17;299,62;
1.601,79;0,00;1,0000;0,00;4.841,62;1.114,05;
5.955,67;0,00;1,0000;0,00;1.095,75;252,13;
1.347,88;0,00;1,0000;0,00;206,62;47,54;
254,16;0,00;1,0000;0,00;226,43;52,10;
278,53;0,00;1,0000;0,00;264,49;60,85;
325,34;0,00;1,0000;0,00;298,79;68,75;
367,54;0,00;1,0000;0,00;304,84;70,14;
374,98;0,00;1,0000;0,00;325,56;74,91;
400,47;0,00;1,0000;0,00;289,03;66,50;
355,53;0,00;1,0000;0,00;312,88;71,99;
384,87;0,00;1,0000;0,00;421,45;96,97;
518,42;0,00;1,0000;0,00;432,68;99,55;
532,23;0,00;1,0000;0,00;251,62;57,89;
309,51;0,00;1,0000;0,00;578,79;133,17;
711,96;0,00;1,0000;0,00;712,09;163,85;
875,94;0,00;1,0000;0,00;278,30;64,03;
342,33;0,00;1,0000;0,00;299,00;68,79;
367,79;0,00;1,0000;0,00;157,70;36,28;
193,98;0,00;1,0000;0,00;177,72;40,89;
218,61;0,00;1,0000;0,00;178,34;41,03;
219,37;0,00;1,0000;0,00;198,36;45,64;
244,00;0,00;1,0000;0,00;32,75;7,53;
40,28;0,00;1,0000;0,00;118,57;27,28;
145,85;0,00;1,0000;0,00;181,26;41,70;
222,96;0,00;1,0000;0,00;337,47;77,65;
415,12;0,00;1,0000;0,00;296,99;68,33;
365,32;0,00;1,0000;0,00;247,97;57,05;
305,02;0,00;1,0000;0,00;199,67;45,94;
245,61;0,00;1,0000;0,00;515,00;118,50;
633,50;0,00;1,0000;0,00;16,99;3,90;
20,89;0,00;1,0000;0,00;25,03;5,75;
30,78;0,00;1,0000;0,00;72,78;16,74;
89,52;0,00;1,0000;0,00;267,17;61,47;
328,64;0,00;1,0000;0,00;239,79;55,17;
294,96;0,00;1,0000;0,00;226,13;52,03;
278,16;0,00;1,0000;0,00;262,64;60,43;
323,07;0,00;1,0000;0,00;100,86;23,20;
124,06;0,00;1,0000;0,00;204,50;47,05;
251,55;0,00;1,0000;0,00;216,74;49,87;
266,61;0,00;1,0000;0,00;226,13;52,03;
278,16;0,00;1,0000;0,00;470,36;108,22;
578,58;0,00;1,0000;0,00;6.364,00;1.464,35;
7.828,35;0,00;1,0000;0,00;10.529,62;2.422,86;
12.952,48;0,00;1,0000;0,00;8.325,52;1.915,70;
10.241,22;0,00;1,0000;0,00;9.664,31;2.223,75;
11.888,06;0,00;1,0000;0,00;8.271,03;1.903,16;
10.174,19;0,00;1,0000;0,00;9.609,82;2.211,21;
11.821,03;0,00;1,0000;0,00;7.116,70;1.637,55;
8.754,25;0,00;1,0000;0,00;9.084,37;2.090,31;
11.174,68;0,00;1,0000;0,00;12.774,84;2.939,49;
15.714,33;0,00;1,0000;0,00;7.994,58;1.839,55;
9.834,13;0,00;1,0000;0,00;10.837,60;2.493,73;
13.331,33;0,00;1,0000;0,00;11.052,92;2.543,27;
13.596,19;0,00;1,0000;0,00;21.108,99;4.857,17;
25.966,16;0,00;1,0000;0,00;15,79;3,63;
19,42;0,00;1,0000;0,00;48,16;11,08;
59,24;0,00;1,0000;0,00;46,38;10,67;
57,05;0,00;1,0000;0,00;690,31;158,84;
849,15;0,00;1,0000;0,00;790,31;181,85;
972,16;0,00;1,0000;0,00;750,31;172,64;
922,95;0,00;1,0000;0,00;690,31;158,84;
849,15;0,00;1,0000;0,00;2.532,30;582,68;
3.114,98;0,00;1,0000;0,00;2.242,43;515,98;
2.758,41;0,00;1,0000;0,00;3.130,95;720,43;
3.851,38;0,00;1,0000;0,00;1.809,56;416,37;
2.225,93;0,00;1,0000;0,00;2.194,78;505,01;
2.699,79;0,00;1,0000;0,00;1.043,25;240,05;
1.283,30;0,00;1,0000;0,00;13,65;3,14;
16,79;0,00;1,0000;0,00;2.732,79;628,81;
3.361,60;0,00;1,0000;0,00;3.013,71;693,45;
3.707,16;17,87;1,0000;17,87;21,60;4,97;
26,57;0,00;1,0000;0,00;21,54;4,95;
26,49;0,00;1,0000;0,00;18,27;4,20;
22,47;0,00;1,0000;0,00;36,49;8,39;
