(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
6.814,43;0,00;1,0000;0,00;4.265,13;981,40;
5.246,53;0,00;1,0000;0,00;4.922,01;1.132,55;
6.054,56;0,00;1,0000;0,00;586,78;135,01;
721,79;0,00;1,0000;0,00;287,28;66,10;
353,38;0,00;1,0000;0,00;535,69;123,26;
658,95;0,00;1,0000;0,00;632,87;145,62;
778,49;0,00;1,0000;0,00;2.363,75;543,89;
2.907,64;0,00;1,0000;0,00;89,15;20,51;
109,66;0,00;1,0000;0,00;40,48;9,31;
49,79;0,00;1,0000;0,00;62,01;14,26;
76,27;0,00;1,0000;0,00;57,74;13,28;
71,02;0,00;1,0000;0,00;47,30;10,88;
58,18;0,00;1,0000;0,00;48,21;11,09;
59,30;0,00;1,0000;0,00;57,74;13,28;
71,02;0,00;1,0000;0,00;59,09;13,59;
72,68;0,00;1,0000;0,00;65,17;14,99;
80,16;0,00;1,0000;0,00;68,23;15,69;
83,92;0,00;1,0000;0,00;73,84;16,99;
90,83;0,00;1,0000;0,00;544,12;125,20;
669,32;0,00;1,0000;0,00;978,34;225,11;
1.203,45;0,00;1,0000;0,00;287,89;66,24;
354,13;0,00;1,0000;0,00;1.063,92;244,80;
1.308,72;0,00;1,0000;0,00;1.692,17;389,36;
2.081,53;0,00;1,0000;0,00;14,89;3,42;
18,31;0,00;1,0000;0,00;15,08;3,46;
18,54;0,00;1,0000;0,00;16,00;3,68;
19,68;0,00;1,0000;0,00;26,89;6,18;
33,07;12,50;1,0000;12,50;16,56;3,81;
20,37;0,00;1,0000;0,00;103,58;23,83;
127,41;0,00;1,0000;0,00;55,77;12,83;
68,60;0,00;1,0000;0,00;67,17;15,45;
82,62;0,00;1,0000;0,00;72,57;16,69;
89,26;0,00;1,0000;0,00;81,28;18,70;
99,98;0,00;1,0000;0,00;86,27;19,85;
106,12;0,00;1,0000;0,00;93,68;21,55;
115,23;0,00;1,0000;0,00;52,50;12,08;
64,58;0,00;1,0000;0,00;63,17;14,53;
77,70;0,00;1,0000;0,00;67,62;15,55;
83,17;0,00;1,0000;0,00;69,65;16,02;
85,67;0,00;1,0000;0,00;74,75;17,19;
91,94;0,00;1,0000;0,00;78,76;18,12;
96,88;0,00;1,0000;0,00;84,77;19,50;
104,27;0,00;1,0000;0,00;49,55;11,40;
60,95;0,00;1,0000;0,00;59,60;13,71;
73,31;0,00;1,0000;0,00;63,17;14,53;
77,70;0,00;1,0000;0,00;68,86;15,84;
84,70;0,00;1,0000;0,00;72,08;16,58;
88,66;0,00;1,0000;0,00;793,35;182,54;
975,89;0,00;1,0000;0,00;25,52;5,87;
31,39;0,00;1,0000;0,00;28,05;6,45;
34,50;0,00;1,0000;0,00;30,57;7,03;
37,60;0,00;1,0000;0,00;33,09;7,61;
40,70;0,00;1,0000;0,00;24,39;5,61;
30,00;0,00;1,0000;0,00;26,53;6,10;
32,63;0,00;1,0000;0,00;28,67;6,59;
35,26;0,00;1,0000;0,00;30,82;7,09;
37,91;0,00;1,0000;0,00;48,94;11,26;
60,20;0,00;1,0000;0,00;67,43;15,51;
82,94;0,00;1,0000;0,00;7,83;1,80;
9,63;0,00;1,0000;0,00;16,20;3,72;
19,92;0,00;1,0000;0,00;47,63;10,95;
58,58;0,00;1,0000;0,00;86,27;19,85;
106,12;0,00;1,0000;0,00;61,22;14,08;
75,30;0,00;1,0000;0,00;106,03;24,39;
130,42;0,00;1,0000;0,00;248,26;57,12;
305,38;0,00;1,0000;0,00;119,84;27,57;
147,41;0,00;1,0000;0,00;80,95;18,62;
99,57;0,00;1,0000;0,00;305,45;70,28;
375,73;0,00;1,0000;0,00;177,03;40,73;
217,76;0,00;1,0000;0,00;330,81;76,11;
406,92;0,00;1,0000;0,00;256,90;59,11;
316,01;0,00;1,0000;0,00;128,48;29,56;
158,04;0,00;1,0000;0,00;89,59;20,61;
110,20;0,00;1,0000;0,00;314,09;72,27;
386,36;0,00;1,0000;0,00;185,67;42,72;
228,39;0,00;1,0000;0,00;146,78;33,77;
180,55;0,00;1,0000;0,00;212,18;48,82;
261,00;0,00;1,0000;0,00;279,85;64,39;
344,24;0,00;1,0000;0,00;323,85;74,51;
398,36;0,00;1,0000;0,00;434,52;99,98;
534,50;0,00;1,0000;0,00;624,38;143,66;
768,04;0,00;1,0000;0,00;780,68;179,63;
960,31;0,00;1,0000;0,00;52,54;12,08;
64,62;0,00;1,0000;0,00;71,53;16,45;
87,98;0,00;1,0000;0,00;97,41;22,41;
119,82;0,00;1,0000;0,00;120,12;27,63;
147,75;0,00;1,0000;0,00;22,44;5,16;
27,60;0,00;1,0000;0,00;6,52;1,50;
8,02;0,00;1,0000;0,00;18,91;4,35;
23,26;0,00;1,0000;0,00;19,75;4,54;
24,29;0,00;1,0000;0,00;1,04;0,23;
1,27;0,00;1,0000;0,00;31,42;7,22;
38,64;0,00;1,0000;0,00;1,41;0,32;
1,73;15,70;1,0000;15,70;19,72;4,53;
24,25;17,87;1,0000;17,87;21,87;5,03;
26,90;0,00;1,0000;0,00;30,12;6,93;
37,05;0,00;1,0000;0,00;40,71;9,36;
50,07;0,00;1,0000;0,00;55,63;12,80;
68,43;0,00;1,0000;0,00;267,13;61,46;
328,59;0,00;1,0000;0,00;30,58;7,03;
37,61;0,00;1,0000;0,00;77,99;17,94;
95,93;0,00;1,0000;0,00;13,37;3,07;
16,44;0,00;1,0000;0,00;13,37;3,07;
16,44;0,00;1,0000;0,00;609,25;140,18;
749,43;0,00;1,0000;0,00;246,05;56,61;
302,66;0,00;1,0000;0,00;56,26;12,94;
69,20;0,00;1,0000;0,00;12,35;2,84;
15,19;0,00;1,0000;0,00;10,52;2,42;
12,94;0,00;1,0000;0,00;10,07;2,31;
12,38;0,00;1,0000;0,00;7,05;1,62;
8,67;0,00;1,0000;0,00;9,81;2,25;
12,06;0,00;1,0000;0,00;15,72;3,61;
19,33;0,00;1,0000;0,00;121,49;27,95;
149,44;0,00;1,0000;0,00;209,01;48,09;
257,10;0,00;1,0000;0,00;62,28;14,33;
76,61;0,00;1,0000;0,00;705,84;162,41;
868,25;0,00;1,0000;0,00;299,30;68,86;
368,16;0,00;1,0000;0,00;333,12;76,65;
409,77;0,00;1,0000;0,00;13,47;3,09;
16,56;0,00;1,0000;0,00;12,89;2,96;
15,85;0,00;1,0000;0,00;13,28;3,05;
16,33;0,00;1,0000;0,00;3.130,95;720,43;
3.851,38;0,00;1,0000;0,00;13,24;3,04;
16,28;0,00;1,0000;0,00;11,83;2,72;
14,55;0,00;1,0000;0,00;13,18;3,03;
16,21;0,00;1,0000;0,00;15,14;3,48;
18,62;0,00;1,0000;0,00;16,52;3,80;
20,32;0,00;1,0000;0,00;13,69;3,15;
16,84;0,00;1,0000;0,00;10,48;2,41;
12,89;0,00;1,0000;0,00;10,27;2,36;
12,63;0,00;1,0000;0,00;1.582,02;364,02;
1.946,04;0,00;1,0000;0,00;1.706,57;392,68;
2.099,25;0,00;1,0000;0,00;78,67;18,10;
96,77;0,00;1,0000;0,00;62,41;14,36;
76,77;0,00;1,0000;0,00;50,73;11,67;
62,40;0,00;1,0000;0,00;74,53;17,14;
91,67;0,00;1,0000;0,00;26,94;6,19;
33,13;0,00;1,0000;0,00;31,65;7,28;
38,93;0,00;1,0000;0,00;98,65;22,69;
121,34;0,00;1,0000;0,00;111,52;25,66;
137,18;0,00;1,0000;0,00;83,67;19,25;
102,92;0,00;1,0000;0,00;178,08;40,97;
219,05;0,00;1,0000;0,00;209,84;48,28;
258,12;0,00;1,0000;0,00;79,65;18,32;
97,97;0,00;1,0000;0,00;52,08;11,98;
64,06;0,00;1,0000;0,00;54,75;12,59;
67,34;0,00;1,0000;0,00;126,50;29,10;
155,60;0,00;1,0000;0,00;126,50;29,10;
155,60;0,00;1,0000;0,00;50,36;11,58;
61,94;0,00;1,0000;0,00;74,54;17,15;
91,69;0,00;1,0000;0,00;32,39;7,45;
39,84;0,00;1,0000;0,00;44,48;10,23;
54,71;0,00;1,0000;0,00;20,91;4,81;
25,72;0,00;1,0000;0,00;23,59;5,42;
29,01;0,00;1,0000;0,00;19,01;4,37;
23,38;0,00;1,0000;0,00;8,50;1,95;
10,45;0,00;1,0000;0,00;22,58;5,19;
27,77;0,00;1,0000;0,00;33,04;7,60;
40,64;0,00;1,0000;0,00;13,17;3,03;
16,20;0,00;1,0000;0,00;1.035,49;238,26;
1.273,75;0,00;1,0000;0,00;40,23;9,25;
49,48;0,48;1,0000;0,48;0,48;0,11;
0,59;1,87;1,0000;1,87;1,87;0,43;
2,30;1,63;1,0000;1,63;1,63;0,37;
2,00;1,40;1,0000;1,40;1,40;0,32;
1,72;1,18;1,0000;1,18;1,18;0,27;
1,45;0,94;1,0000;0,94;0,94;0,21;
1,15;0,72;1,0000;0,72;0,72;0,16;
0,88;0,00;1,0000;0,00;90,37;20,79;
111,16;0,00;1,0000;0,00;2.229,20;512,93;
2.742,13;0,00;1,0000;0,00;69,80;16,06;
85,86;0,00;1,0000;0,00;72,80;16,75;
89,55;0,00;1,0000;0,00;75,80;17,44;
93,24;0,00;1,0000;0,00;380,85;87,63;
468,48;0,00;1,0000;0,00;332,99;76,62;
409,61;0,00;1,0000;0,00;319,13;73,43;
392,56;0,00;1,0000;0,00;366,28;84,28;
450,56;0,00;1,0000;0,00;403,15;92,76;
495,91;0,00;1,0000;0,00;390,46;89,84;
480,30;0,00;1,0000;0,00;424,92;97,77;
522,69;0,00;1,0000;0,00;417,93;96,16;
514,09;0,00;1,0000;0,00;456,71;105,08;
561,79;0,00;1,0000;0,00;450,18;103,58;
553,76;0,00;1,0000;0,00;474,91;109,27;
584,18;0,00;1,0000;0,00;515,65;118,65;
634,30;0,00;1,0000;0,00;504,67;116,12;
620,79;0,00;1,0000;0,00;410,60;94,47;
505,07;0,00;1,0000;0,00;425,52;97,91;
523,43;0,00;1,0000;0,00;319,76;73,57;
393,33;0,00;1,0000;0,00;301,29;69,32;
370,61;0,00;1,0000;0,00;387,87;89,24;
477,11;0,00;1,0000;0,00;383,58;88,26;
471,84;0,00;1,0000;0,00;368,80;84,86;
453,66;0,00;1,0000;0,00;384,19;88,40;
472,59;0,00;1,0000;0,00;390,10;89,76;
479,86;0,00;1,0000;0,00;402,29;92,56;
494,85;0,00;1,0000;0,00;364,37;83,84;
448,21;0,00;1,0000;0,00;26,21;6,03;
32,24;0,00;1,0000;0,00;43,08;9,91;
52,99;0,00;1,0000;0,00;35,35;8,13;
43,48;0,00;1,0000;0,00;56,74;13,05;
69,79;0,00;1,0000;0,00;23,24;5,34;
28,58;0,00;1,0000;0,00;11,41;2,62;
14,03;0,00;1,0000;0,00;28,28;6,50;
34,78;0,00;1,0000;0,00;20,55;4,72;
25,27;0,00;1,0000;0,00;41,94;9,65;
51,59;0,00;1,0000;0,00;8,44;1,94;
10,38;0,00;1,0000;0,00;28,23;6,49;
34,72;0,00;1,0000;0,00;47,69;10,97;
58,66;0,00;1,0000;0,00;39,36;9,05;
48,41;0,00;1,0000;0,00;62,85;14,46;
77,31;0,00;1,0000;0,00;24,90;5,72;
30,62;0,00;1,0000;0,00;13,43;3,09;
16,52;0,00;1,0000;0,00;32,89;7,56;
40,45;0,00;1,0000;0,00;24,56;5,65;
30,21;0,00;1,0000;0,00;48,05;11,05;
59,10;0,00;1,0000;0,00;10,10;2,32;
12,42;0,00;1,0000;0,00;26,21;6,03;
32,24;0,00;1,0000;0,00;43,08;9,91;
52,99;0,00;1,0000;0,00;35,35;8,13;
43,48;0,00;1,0000;0,00;56,74;13,05;
69,79;0,00;1,0000;0,00;23,24;5,34;
28,58;0,00;1,0000;0,00;28,23;6,49;
34,72;0,00;1,0000;0,00;47,69;10,97;
58,66;0,00;1,0000;0,00;39,36;9,05;
48,41;0,00;1,0000;0,00;62,85;14,46;
77,31;0,00;1,0000;0,00;24,90;5,72;
30,62;0,00;1,0000;0,00;28,23;6,49;
34,72;0,00;1,0000;0,00;47,69;10,97;
58,66;0,00;1,0000;0,00;39,36;9,05;
48,41;0,00;1,0000;0,00;62,85;14,46;
77,31;0,00;1,0000;0,00;24,90;5,72;
30,62;0,00;1,0000;0,00;28,23;6,49;
34,72;0,00;1,0000;0,00;47,69;10,97;
58,66;0,00;1,0000;0,00;39,36;9,05;
48,41;0,00;1,0000;0,00;62,85;14,46;
77,31;0,00;1,0000;0,00;24,90;5,72;
30,62;0,00;1,0000;0,00;30,25;6,96;
37,21;0,00;1,0000;0,00;52,30;12,03;
64,33;0,00;1,0000;0,00;43,37;9,97;
53,34;0,00;1,0000;0,00;68,96;15,86;
84,82;0,00;1,0000;0,00;26,56;6,11;
32,67;0,00;1,0000;0,00;15,45;3,55;
19,00;0,00;1,0000;0,00;37,50;8,62;
46,12;0,00;1,0000;0,00;28,57;6,57;
35,14;0,00;1,0000;0,00;54,16;12,46;
66,62;0,00;1,0000;0,00;11,76;2,70;
14,46;0,00;1,0000;0,00;30,25;6,96;
37,21;0,00;1,0000;0,00;52,30;12,03;
64,33;0,00;1,0000;0,00;43,37;9,97;
53,34;0,00;1,0000;0,00;68,96;15,86;
84,82;0,00;1,0000;0,00;26,56;6,11;
32,67;0,00;1,0000;0,00;17,47;4,01;
21,48;0,00;1,0000;0,00;32,27;7,42;
39,69;0,00;1,0000;0,00;42,11;9,68;
51,79;0,00;1,0000;0,00;56,91;13,09;
70,00;0,00;1,0000;0,00;32,58;7,49;
40,07;0,00;1,0000;0,00;47,38;10,90;
58,28;0,00;1,0000;0,00;60,27;13,86;
74,13;0,00;1,0000;0,00;75,07;17,27;
92,34;0,00;1,0000;0,00;13,42;3,08;
16,50;0,00;1,0000;0,00;28,22;6,49;
34,71;0,00;1,0000;0,00;88,09;20,26;
108,35;0,00;1,0000;0,00;81,60;18,77;
100,37;0,00;1,0000;0,00;199,82;45,97;
245,79;0,00;1,0000;0,00;36,57;8,41;
44,98;0,00;1,0000;0,00;52,93;12,17;
65,10;0,00;1,0000;0,00;56,43;12,98;
69,41;0,00;1,0000;0,00;80,70;18,56;
99,26;0,00;1,0000;0,00;65,31;15,02;
80,33;0,00;1,0000;0,00;65,36;15,03;
80,39;0,00;1,0000;0,00;66,17;15,22;
81,39;0,00;1,0000;0,00;44,98;10,34;
55,32;0,00;1,0000;0,00;45,79;10,53;
56,32;0,00;1,0000;0,00;32,55;7,48;
40,03;0,00;1,0000;0,00;30,07;6,91;
36,98;0,00;1,0000;0,00;33,57;7,72;
41,29;0,00;1,0000;0,00;57,84;13,30;
71,14;0,00;1,0000;0,00;42,45;9,76;
52,21;0,00;1,0000;0,00;42,50;9,77;
52,27;0,00;1,0000;0,00;43,31;9,96;
53,27;0,00;1,0000;0,00;14,83;3,41;
18,24;0,00;1,0000;0,00;57,73;13,28;
71,01;0,00;1,0000;0,00;61,23;14,08;
75,31;0,00;1,0000;0,00;32,65;7,51;
40,16;0,00;1,0000;0,00;36,15;8,31;
44,46;0,00;1,0000;0,00;34,27;7,88;
42,15;0,00;1,0000;0,00;37,77;8,69;
46,46;0,00;1,0000;0,00;35,03;8,06;
43,09;0,00;1,0000;0,00;38,53;8,86;
47,39;0,00;1,0000;0,00;41,71;9,59;
51,30;0,00;1,0000;0,00;94,13;21,65;
115,78;0,00;1,0000;0,00;477,69;109,91;
587,60;0,00;1,0000;0,00;733,88;168,86;
902,74;0,00;1,0000;0,00;101,08;23,25;
124,33;0,00;1,0000;0,00;55,36;12,73;
68,09;0,00;1,0000;0,00;77,26;17,77;
95,03;0,00;1,0000;0,00;75,50;17,37;
92,87;0,00;1,0000;0,00;41,21;9,48;
50,69;0,00;1,0000;0,00;30,22;6,95;
37,17;0,00;1,0000;0,00;42,74;9,83;
52,57;0,00;1,0000;0,00;42,79;9,84;
52,63;0,00;1,0000;0,00;43,60;10,03;
53,63;0,00;1,0000;0,00;33,49;7,70;
41,19;0,00;1,0000;0,00;20,03;4,60;
24,63;0,00;1,0000;0,00;32,60;7,50;
40,10;0,00;1,0000;0,00;33,41;7,68;
41,09;0,00;1,0000;0,00;19,55;4,49;
24,04;0,00;1,0000;0,00;18,79;4,32;
23,11;0,00;1,0000;0,00;31,31;7,20;
38,51;0,00;1,0000;0,00;31,36;7,21;
38,57;0,00;1,0000;0,00;32,17;7,40;
39,57;0,00;1,0000;0,00;55,17;12,69;
67,86;0,00;1,0000;0,00;55,98;12,88;
68,86;0,00;1,0000;0,00;43,74;10,06;
53,80;0,00;1,0000;0,00;44,55;10,25;
54,80;0,00;1,0000;0,00;9,42;2,16;
11,58;0,00;1,0000;0,00;7,81;1,79;
9,60;0,00;1,0000;0,00;12,04;2,77;
14,81;0,00;1,0000;0,00;22,80;5,24;
28,04;0,00;1,0000;0,00;32,62;7,50;
40,12;0,00;1,0000;0,00;20,08;4,62;
24,70;0,00;1,0000;0,00;33,46;7,69;
41,15;0,00;1,0000;0,00;36,96;8,50;
45,46;0,00;1,0000;0,00;63,39;14,58;
77,97;0,00;1,0000;0,00;66,89;15,39;
82,28;0,00;1,0000;0,00;20,89;4,80;
25,69;0,00;1,0000;0,00;21,27;4,89;
26,16;0,00;1,0000;0,00;22,86;5,26;
28,12;0,00;1,0000;0,00;52,07;11,98;
64,05;0,00;1,0000;0,00;50,82;11,69;
62,51;0,00;1,0000;0,00;30,65;7,05;
37,70;0,00;1,0000;0,00;25,38;5,83;
31,21;0,00;1,0000;0,00;3.153,96;725,72;
3.879,68;0,00;1,0000;0,00;748,32;172,18;
920,50;0,00;1,0000;0,00;719,76;165,61;
885,37;0,00;1,0000;0,00;1.312,12;301,91;
1.614,03;0,00;1,0000;0,00;1.126,54;259,21;
1.385,75;0,00;1,0000;0,00;2.151,33;495,02;
2.646,35;0,00;1,0000;0,00;2.599,08;598,04;
3.197,12;0,00;1,0000;0,00;1.264,07;290,86;
1.554,93;0,00;1,0000;0,00;50,24;11,56;
61,80;0,00;1,0000;0,00;33,05;7,60;
40,65;0,00;1,0000;0,00;24,83;5,71;
30,54;0,00;1,0000;0,00;32,02;7,36;
39,38;0,00;1,0000;0,00;28,37;6,52;
34,89;0,00;1,0000;0,00;34,97;8,04;
43,01;0,00;1,0000;0,00;49,26;11,33;
60,59;0,00;1,0000;0,00;31,58;7,26;
38,84;0,00;1,0000;0,00;23,36;5,37;
28,73;0,00;1,0000;0,00;30,03;6,90;
36,93;0,00;1,0000;0,00;26,82;6,17;
32,99;0,00;1,0000;0,00;33,42;7,68;
41,10;0,00;1,0000;0,00;35,79;8,23;
44,02;0,00;1,0000;0,00;34,09;7,84;
41,93;0,00;1,0000;0,00;28,21;6,49;
34,70;0,00;1,0000;0,00;38,91;8,95;
47,86;0,00;1,0000;0,00;38,66;8,89;
47,55;0,00;1,0000;0,00;28,55;6,56;
35,11;0,00;1,0000;0,00;41,95;9,65;
51,60;0,00;1,0000;0,00;30,37;6,98;
37,35;0,00;1,0000;0,00;23,45;5,39;
28,84;0,00;1,0000;0,00;23,05;5,30;
28,35;0,00;1,0000;0,00;27,87;6,41;
34,28;0,00;1,0000;0,00;43,24;9,94;
53,18;0,00;1,0000;0,00;8,84;2,03;
10,87;0,00;1,0000;0,00;27,59;6,34;
33,93;0,00;1,0000;0,00;30,00;6,90;
36,90;0,00;1,0000;0,00;32,40;7,45;
39,85;0,00;1,0000;0,00;45,03;10,36;
55,39;0,00;1,0000;0,00;2.513,59;578,37;
3.091,96;0,00;1,0000;0,00;2.273,60;523,15;
2.796,75;0,00;1,0000;0,00;31,64;7,28;
38,92;0,00;1,0000;0,00;40,71;9,36;
50,07;0,00;1,0000;0,00;41,44;9,53;
50,97;0,00;1,0000;0,00;25,80;5,93;
31,73;0,00;1,0000;0,00;51,41;11,82;
63,23;0,00;1,0000;0,00;327,25;75,30;
402,55;0,00;1,0000;0,00;110,02;25,31;
135,33;0,00;1,0000;0,00;173,47;39,91;
213,38;0,00;1,0000;0,00;169,69;39,04;
208,73;0,00;1,0000;0,00;93,47;21,50;
114,97;0,00;1,0000;0,00;83,94;19,31;
103,25;0,00;1,0000;0,00;27,26;6,27;
33,53;0,00;1,0000;0,00;31,87;7,33;
39,20;0,00;1,0000;0,00;19,92;4,58;
24,50;0,00;1,0000;0,00;24,52;5,64;
30,16;0,00;1,0000;0,00;140,00;32,21;
172,21;0,00;1,0000;0,00;95,00;21,85;
116,85;0,00;1,0000;0,00;140,00;32,21;
172,21;0,00;1,0000;0,00;95,00;21,85;
116,85;0,00;1,0000;0,00;13,24;3,04;
16,28;0,00;1,0000;0,00;13,71;3,15;
16,86;0,00;1,0000;0,00;13,88;3,19;
17,07;0,00;1,0000;0,00;15,37;3,53;
18,90;0,00;1,0000;0,00;2,38;0,54;
2,92;0,00;1,0000;0,00;44,79;10,30;
55,09;0,00;1,0000;0,00;34,93;8,03;
42,96;0,00;1,0000;0,00;23,28;5,35;
28,63;0,00;1,0000;0,00;18,99;4,36;
23,35;0,00;1,0000;0,00;13,47;3,09;
16,56;0,00;1,0000;0,00;267,18;61,47;
328,65;0,00;1,0000;0,00;347,20;79,89;
427,09;0,00;1,0000;0,00;162,09;37,29;
199,38;0,00;1,0000;0,00;188,43;43,35;
231,78;0,00;1,0000;0,00;233,04;53,62;
286,66;0,00;1,0000;0,00;227,91;52,44;
280,35;0,00;1,0000;0,00;289,78;66,67;
356,45;0,00;1,0000;0,00;283,07;65,13;
348,20;0,00;1,0000;0,00;297,39;68,42;
365,81;0,00;1,0000;0,00;606,34;139,51;
745,85;0,00;1,0000;0,00;546,87;125,83;
672,70;0,00;1,0000;0,00;40,65;9,35;
50,00;0,00;1,0000;0,00;26,81;6,16;
32,97;0,00;1,0000;0,00;6,02;1,38;
7,40;0,00;1,0000;0,00;4,14;0,95;
5,09;0,00;1,0000;0,00;20,03;4,60;
24,63;0,00;1,0000;0,00;51,11;11,76;
62,87;0,00;1,0000;0,00;113,39;26,09;
139,48;0,00;1,0000;0,00;107,51;24,73;
132,24;0,00;1,0000;0,00;98,54;22,67;
121,21;0,00;1,0000;0,00;16,11;3,70;
19,81;0,00;1,0000;0,00;62,61;14,40;
77,01;0,00;1,0000;0,00;139,77;32,16;
171,93;0,00;1,0000;0,00;286,70;65,96;
352,66;0,00;1,0000;0,00;37,72;8,67;
46,39;0,00;1,0000;0,00;79,20;18,22;
97,42;0,00;1,0000;0,00;232,94;53,59;
286,53;0,00;1,0000;0,00;121,78;28,02;
149,80;0,00;1,0000;0,00;14,32;3,29;
17,61;0,00;1,0000;0,00;17,91;4,12;
22,03;0,00;1,0000;0,00;17,91;4,12;
22,03;0,00;1,0000;0,00;41,57;9,56;
51,13;0,00;1,0000;0,00;18,25;4,19;
22,44;0,00;1,0000;0,00;22,03;5,06;
27,09;0,00;1,0000;0,00;15,89;3,65;
19,54;0,00;1,0000;0,00;15,89;3,65;
19,54;0,00;1,0000;0,00;10,74;2,47;
13,21;0,00;1,0000;0,00;15,22;3,50;
18,72;0,00;1,0000;0,00;16,11;3,70;
19,81;0,00;1,0000;0,00;27,68;6,36;
34,04;0,00;1,0000;0,00;8,95;2,05;
11,00;0,00;1,0000;0,00;16,11;3,70;
19,81;0,00;1,0000;0,00;16,11;3,70;
19,81;0,00;1,0000;0,00;13,66;3,14;
16,80;0,00;1,0000;0,00;7,75;1,78;
9,53;0,00;1,0000;0,00;25,08;5,77;
30,85;0,00;1,0000;0,00;12,53;2,88;
15,41;0,00;1,0000;0,00;12,53;2,88;
15,41;0,00;1,0000;0,00;12,71;2,92;
15,63;0,00;1,0000;0,00;14,32;3,29;
17,61;0,00;1,0000;0,00;18,39;4,23;
22,62;0,00;1,0000;0,00;21,50;4,94;
26,44;0,00;1,0000;0,00;16,11;3,70;
19,81;0,00;1,0000;0,00;17,91;4,12;
22,03;0,00;1,0000;0,00;7,16;1,64;
8,80;0,00;1,0000;0,00;12,53;2,88;
15,41;0,00;1,0000;0,00;8,21;1,88;
10,09;0,00;1,0000;0,00;14,32;3,29;
17,61;0,00;1,0000;0,00;21,50;4,94;
26,44;0,00;1,0000;0,00;2,14;0,49;
2,63;0,00;1,0000;0,00;14,32;3,29;
17,61;0,00;1,0000;0,00;12,53;2,88;
15,41;0,00;1,0000;0,00;2.190,02;503,92;
2.693,94;0,00;1,0000;0,00;723,00;166,36;
889,36;0,00;1,0000;0,00;942,41;216,84;
1.159,25;0,00;1,0000;0,00;1.030,88;237,20;
1.268,08;0,00;1,0000;0,00;1.121,47;258,05;
1.379,52;0,00;1,0000;0,00;1.751,37;402,99;
2.154,36;0,00;1,0000;0,00;363,15;83,56;
446,71;0,00;1,0000;0,00;434,50;99,97;
534,47;0,00;1,0000;0,00;502,17;115,54;
617,71;0,00;1,0000;0,00;577,77;132,94;
710,71;0,00;1,0000;0,00;648,98;149,33;
798,31;0,00;1,0000;0,00;940,50;216,40;
1.156,90;0,00;1,0000;0,00;1.177,53;270,94;
1.448,47;0,00;1,0000;0,00;1.270,08;292,24;
1.562,32;0,00;1,0000;0,00;1.365,29;314,15;
1.679,44;0,00;1,0000;0,00;1.928,18;443,67;
2.371,85;0,00;1,0000;0,00;552,14;127,04;
679,18;0,00;1,0000;0,00;628,11;144,52;
772,63;0,00;1,0000;0,00;701,27;161,36;
862,63;0,00;1,0000;0,00;780,77;179,65;
960,42;0,00;1,0000;0,00;857,47;197,30;
1.054,77;307,35;1,0000;307,35;344,49;79,26;
423,75;217,81;1,0000;217,81;256,47;59,01;
315,48;391,43;1,0000;391,43;430,09;98,96;
529,05;349,39;1,0000;349,39;388,05;89,29;
477,34;0,00;1,0000;0,00;0,91;0,20;
1,11;0,00;1,0000;0,00;0,91;0,20;
1,11;0,00;1,0000;0,00;1,51;0,34;
1,85;0,00;1,0000;0,00;0,33;0,07;
0,40;0,00;1,0000;0,00;7,16;1,64;
8,80;0,00;1,0000;0,00;160,00;36,81;
196,81;0,00;1,0000;0,00;155,27;35,72;
190,99;0,00;1,0000;0,00;155,27;35,72;
190,99;0,00;1,0000;0,00;78,01;17,95;
95,96;0,00;1,0000;0,00;78,01;17,95;
95,96;0,00;1,0000;0,00;66,75;15,35;
82,10;0,00;1,0000;0,00;210,35;48,40;
258,75;0,00;1,0000;0,00;210,35;48,40;
258,75;0,00;1,0000;0,00;210,35;48,40;
258,75;0,00;1,0000;0,00;55,42;12,75;
68,17;0,00;1,0000;0,00;55,42;12,75;
68,17;0,00;1,0000;0,00;55,42;12,75;
68,17;0,00;1,0000;0,00;55,42;12,75;
68,17;0,00;1,0000;0,00;55,42;12,75;
68,17;0,00;1,0000;0,00;66,75;15,35;
82,10;0,00;1,0000;0,00;66,75;15,35;
82,10;0,00;1,0000;0,00;66,75;15,35;
82,10;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;58,98;13,57;
72,55;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;43,03;9,90;
52,93;0,00;1,0000;0,00;44,60;10,26;
54,86;0,00;1,0000;0,00;44,60;10,26;
54,86;0,00;1,0000;0,00;54,12;12,45;
66,57;0,00;1,0000;0,00;58,98;13,57;
72,55;0,00;1,0000;0,00;58,98;13,57;
72,55;0,00;1,0000;0,00;106,47;24,49;
130,96;0,00;1,0000;0,00;111,47;25,64;
137,11;0,00;1,0000;0,00;126,47;29,10;
155,57;0,00;1,0000;0,00;138,02;31,75;
169,77;0,00;1,0000;0,00;18,84;4,33;
23,17;0,00;1,0000;0,00;18,84;4,33;
23,17;0,00;1,0000;0,00;18,84;4,33;
