
1;136,48;31,40;167,88;
2;175,03;40,27;215,30;
3;18,40;4,23;22,63;
4;18,40;4,23;22,63;
5;11,79;2,71;14,50;
6;12,29;2,82;15,11;
7;246,08;56,62;302,70;
8;212,28;48,84;261,12;
9;318,09;73,19;391,28;
10;560,90;129,06;689,96;
11;110,96;25,53;136,49;
12;52,57;12,09;64,66;
13;61,91;14,24;76,15;
14;13,43;3,09;16,52;
15;16,37;3,76;20,13;
16;19,75;4,54;24,29;
17;31,68;7,28;38,96;
18;35,86;8,25;44,11;
19;42,53;9,78;52,31;
20;16,52;3,80;20,32;
23;16,32;3,75;20,07;
24;18,07;4,15;22,22;
26;16,84;3,87;20,71;
28;18,05;4,15;22,20;
29;18,07;4,15;22,22;
31;19,13;4,40;23,53;
34;15,71;3,61;19,32;
35;5.828,24;1.341,07;7.169,31;
36;6.054,67;1.393,17;7.447,84;
37;6.280,59;1.445,16;7.725,75;
38;6.511,59;1.498,31;8.009,90;
39;9.919,17;2.282,40;12.201,57;
40;10.221,34;2.351,93;12.573,27;
41;10.512,02;2.418,81;12.930,83;
42;10.839,62;2.494,19;13.333,81;
43;11.220,90;2.581,92;13.802,82;
44;11.623,73;2.674,62;14.298,35;
45;11.987,04;2.758,21;14.745,25;
46;12.466,51;2.868,54;15.335,05;
47;12.850,50;2.956,90;15.807,40;
48;13.250,76;3.048,99;16.299,75;
49;13.654,07;3.141,80;16.795,87;
50;13.974,36;3.215,50;17.189,86;
51;14.321,44;3.295,36;17.616,80;
52;14.637,96;3.368,19;18.006,15;
53;14.957,26;3.441,66;18.398,92;
54;1.506,30;346,59;1.852,89;
55;2.033,02;467,79;2.500,81;
56;2.164,22;497,98;2.662,20;
57;2.685,82;618,00;3.303,82;
58;2.998,11;689,86;3.687,97;
59;959,97;220,88;1.180,85;
60;1.071,75;246,60;1.318,35;
61;1.168,13;268,78;1.436,91;
62;1.269,27;292,05;1.561,32;
63;1.382,17;318,03;1.700,20;
65;786,87;181,05;967,92;
67;890,06;204,80;1.094,86;
69;1.148,07;264,17;1.412,24;
71;714,54;164,41;878,95;
73;215,48;49,58;265,06;
74;283,70;65,27;348,97;
75;576,97;132,76;709,73;
76;834,98;192,12;1.027,10;
77;210,36;48,40;258,76;
78;201,88;46,45;248,33;
79;231,75;53,32;285,07;
80;241,92;55,66;297,58;
81;225,38;51,85;277,23;
82;3.412,44;785,20;4.197,64;
83;179,39;41,27;220,66;
84;209,56;48,21;257,77;
85;146,57;33,72;180,29;
86;104,45;24,03;128,48;
87;135,20;31,10;166,30;
88;71,06;16,35;87,41;
89;103,19;23,74;126,93;
90;133,36;30,68;164,04;
91;70,37;16,19;86,56;
92;79,35;18,25;97,60;
93;82,10;18,89;100,99;
94;71,80;16,52;88,32;
95;1.292,88;297,49;1.590,37;
96;1.246,37;286,78;1.533,15;
97;46,34;10,66;57,00;
98;44,39;10,21;54,60;
99;54,81;12,61;67,42;
100;65,02;14,96;79,98;
101;39,19;9,01;48,20;
102;37,79;8,69;46,48;
103;372,64;85,74;458,38;
105;62,89;14,47;77,36;
106;96,59;22,22;118,81;
107;127,68;29,37;157,05;
108;52,51;12,08;64,59;
109;62,96;14,48;77,44;
110;38,25;8,80;47,05;
111;118,42;27,24;145,66;
112;222,50;51,19;273,69;
113;70,20;16,15;86,35;
114;81,58;18,77;100,35;
115;79,16;18,21;97,37;
116;145,32;33,43;178,75;
117;140,83;32,40;173,23;
118;58,48;13,45;71,93;
119;48,29;11,11;59,40;
120;59,60;13,71;73,31;
121;56,02;12,89;68,91;
122;69,96;16,09;86,05;
123;39,98;9,19;49,17;
124;46,60;10,72;57,32;
125;22,42;5,15;27,57;
126;52,33;12,04;64,37;
127;61,73;14,20;75,93;
128;61,73;14,20;75,93;
129;140,93;32,42;173,35;
130;8.917,66;2.051,95;10.969,61;
131;2.513,76;578,41;3.092,17;
132;7.474,72;1.719,93;9.194,65;
133;4.983,26;1.146,64;6.129,90;
134;1.604,76;369,25;1.974,01;
135;7.099,42;1.633,57;8.732,99;
136;4.950,61;1.139,13;6.089,74;
137;2.530,31;582,22;3.112,53;
139;211,99;48,77;260,76;
141;122,05;28,08;150,13;
142;7,85;1,80;9,65;
143;9,41;2,16;11,57;
144;18,06;4,15;22,21;
145;19,29;4,43;23,72;
146;5,57;1,28;6,85;
147;11,87;2,73;14,60;
148;34,06;7,83;41,89;
149;22,70;5,22;27,92;
150;17,19;3,95;21,14;
151;2,44;0,56;3,00;
152;23,56;5,42;28,98;
153;4,09;0,94;5,03;
154;4,54;1,04;5,58;
155;4,66;1,07;5,73;
156;6,25;1,43;7,68;
157;7,44;1,71;9,15;
158;13,53;3,11;16,64;
159;20,91;4,81;25,72;
160;41,92;9,64;51,56;
161;42,11;9,68;51,79;
162;43,03;9,90;52,93;
163;11,12;2,55;13,67;
164;3.363,96;774,04;4.138,00;
165;2.272,21;522,83;2.795,04;
166;2.272,21;522,83;2.795,04;
168;100,98;23,23;124,21;
170;456,19;104,96;561,15;
171;364,52;83,87;448,39;
172;390,52;89,85;480,37;
